country,week,cases_pm,vaccination_rate,stringency,population_density,hospital_beds,median_age,age65,gdp_pc,treatment
Afghanistan,2021-01-04,2.7457142857142856,0.0,12.040000000000001,54.42,0.5,18.6,2.58,1803.99,0
Afghanistan,2021-01-11,1.7428571428571427,0.0,12.040000000000001,54.42,0.5,18.6,2.58,1803.99,0
Afghanistan,2021-01-18,2.1514285714285717,0.0,12.040000000000001,54.42,0.5,18.6,2.58,1803.99,0
Afghanistan,2021-01-25,1.5071428571428573,0.0,12.040000000000001,54.42,0.5,18.6,2.58,1803.99,0
Afghanistan,2021-02-01,1.0985714285714285,0.0,12.040000000000001,54.42,0.5,18.6,2.58,1803.99,0
Afghanistan,2021-02-08,0.5528571428571428,0.0,12.040000000000001,54.42,0.5,18.6,2.58,1803.99,0
Afghanistan,2021-02-15,0.39428571428571424,0.0,12.040000000000001,54.42,0.5,18.6,2.58,1803.99,0
Afghanistan,2021-02-22,0.3871428571428571,0.002857142857142857,12.040000000000001,54.42,0.5,18.6,2.58,1803.99,0
Afghanistan,2021-03-01,0.4685714285714285,0.0,12.040000000000001,54.42,0.5,18.6,2.58,1803.99,0
Afghanistan,2021-03-08,0.4857142857142857,0.0,25.268571428571427,54.42,0.5,18.6,2.58,1803.99,0
Afghanistan,2021-03-15,0.41571428571428576,0.018571428571428572,30.56,54.42,0.5,18.6,2.58,1803.99,0
Afghanistan,2021-03-22,0.6728571428571428,0.0,27.38,54.42,0.5,18.6,2.58,1803.99,0
Afghanistan,2021-03-29,1.3442857142857143,0.0,26.85,54.42,0.5,18.6,2.58,1803.99,0
Afghanistan,2021-04-05,1.7042857142857142,0.041428571428571426,26.85,54.42,0.5,18.6,2.58,1803.99,0
Afghanistan,2021-04-12,2.2285714285714286,0.0,26.85,54.42,0.5,18.6,2.58,1803.99,0
Afghanistan,2021-04-19,3.697142857142857,0.08285714285714285,26.85,54.42,0.5,18.6,2.58,1803.99,0
Afghanistan,2021-04-26,4.502857142857143,0.0,26.85,54.42,0.5,18.6,2.58,1803.99,0
Afghanistan,2021-05-03,6.055714285714286,0.0,26.85,54.42,0.5,18.6,2.58,1803.99,0
Afghanistan,2021-05-10,5.78,0.15571428571428572,26.85,54.42,0.5,18.6,2.58,1803.99,0
Afghanistan,2021-05-17,7.8999999999999995,0.16285714285714284,30.81857142857143,54.42,0.5,18.6,2.58,1803.99,0
Afghanistan,2021-05-24,17.71857142857143,0.6671428571428571,49.33857142857143,54.42,0.5,18.6,2.58,1803.99,0
Afghanistan,2021-05-31,29.794285714285714,0.33428571428571424,41.67,54.42,0.5,18.6,2.58,1803.99,0
Afghanistan,2021-06-07,37.44714285714286,0.16714285714285712,42.19857142857143,54.42,0.5,18.6,2.58,1803.99,0
Afghanistan,2021-06-14,42.40428571428571,0.16857142857142857,46.3,54.42,0.5,18.6,2.58,1803.99,0
Afghanistan,2021-06-21,43.35142857142857,0.42857142857142855,46.3,54.42,0.5,18.6,2.58,1803.99,0
Afghanistan,2021-06-28,37.06428571428571,0.24285714285714285,46.3,54.42,0.5,18.6,2.58,1803.99,0
Afghanistan,2021-07-05,31.085714285714285,0.7671428571428571,54.63142857142857,54.42,0.5,18.6,2.58,1803.99,1
Afghanistan,2021-07-12,24.728571428571428,0.0,56.02,54.42,0.5,18.6,2.58,1803.99,1
Afghanistan,2021-07-19,11.508571428571429,0.0,56.02,54.42,0.5,18.6,2.58,1803.99,1
Afghanistan,2021-07-26,12.78,0.0,52.31,54.42,0.5,18.6,2.58,1803.99,1
Afghanistan,2021-08-02,10.41,0.0,52.31,54.42,0.5,18.6,2.58,1803.99,1
Afghanistan,2021-08-09,5.5442857142857145,0.0,48.011428571428574,54.42,0.5,18.6,2.58,1803.99,0
Afghanistan,2021-08-16,1.6828571428571428,0.2671428571428572,22.22,54.42,0.5,18.6,2.58,1803.99,0
Afghanistan,2021-08-23,1.837142857142857,0.0,22.22,54.42,0.5,18.6,2.58,1803.99,0
Afghanistan,2021-08-30,1.3728571428571428,0.26857142857142857,18.52,54.42,0.5,18.6,2.58,1803.99,0
Afghanistan,2021-09-06,1.9957142857142858,0.0,18.52,54.42,0.5,18.6,2.58,1803.99,0
Afghanistan,2021-09-13,1.9328571428571428,0.0,30.16,54.42,0.5,18.6,2.58,1803.99,0
Afghanistan,2021-09-20,1.2671428571428571,0.0,35.19,54.42,0.5,18.6,2.58,1803.99,0
Afghanistan,2021-09-27,0.8514285714285714,0.2871428571428571,35.19,54.42,0.5,18.6,2.58,1803.99,0
Afghanistan,2021-10-04,0.7142857142857143,0.0,35.19,54.42,0.5,18.6,2.58,1803.99,0
Afghanistan,2021-10-11,0.9614285714285715,0.0,35.19,54.42,0.5,18.6,2.58,1803.99,0
Afghanistan,2021-10-18,0.7071428571428572,0.0,34.52285714285714,54.42,0.5,18.6,2.58,1803.99,0
Afghanistan,2021-10-25,0.9500000000000001,0.0,25.0,54.42,0.5,18.6,2.58,1803.99,0
Afghanistan,2021-11-01,0.6585714285714286,0.0,25.0,54.42,0.5,18.6,2.58,1803.99,0
Afghanistan,2021-11-08,0.8342857142857143,1.2257142857142858,25.0,54.42,0.5,18.6,2.58,1803.99,0
Afghanistan,2021-11-15,1.2385714285714287,0.0,25.0,54.42,0.5,18.6,2.58,1803.99,0
Afghanistan,2021-11-22,1.147142857142857,0.0,25.0,54.42,0.5,18.6,2.58,1803.99,0
Afghanistan,2021-11-29,0.8485714285714286,0.0,25.0,54.42,0.5,18.6,2.58,1803.99,0
Afghanistan,2021-12-06,0.6342857142857143,0.0,25.0,54.42,0.5,18.6,2.58,1803.99,0
Afghanistan,2021-12-13,0.4714285714285714,0.0,22.617142857142856,54.42,0.5,18.6,2.58,1803.99,0
Afghanistan,2021-12-20,0.5528571428571428,0.0,19.44,54.42,0.5,18.6,2.58,1803.99,0
Afghanistan,2021-12-27,0.0,2.0140000000000002,19.44,54.42,0.5,18.6,2.58,1803.99,0
Albania,2021-01-04,184.6585714285714,0.0,56.48,104.87,2.89,38.0,13.19,11803.43,1
Albania,2021-01-11,215.07285714285715,0.0071428571428571435,60.19,104.87,2.89,38.0,13.19,11803.43,1
Albania,2021-01-18,203.09857142857143,0.011428571428571429,60.19,104.87,2.89,38.0,13.19,11803.43,1
Albania,2021-01-25,287.72285714285715,0.0,60.19,104.87,2.89,38.0,13.19,11803.43,1
Albania,2021-02-01,340.11428571428576,0.002857142857142857,60.19,104.87,2.89,38.0,13.19,11803.43,1
Albania,2021-02-08,391.6985714285714,0.002857142857142857,60.19,104.87,2.89,38.0,13.19,11803.43,1
Albania,2021-02-15,357.39428571428573,0.018571428571428572,60.19,104.87,2.89,38.0,13.19,11803.43,1
Albania,2021-02-22,369.82142857142856,0.03,60.19,104.87,2.89,38.0,13.19,11803.43,1
Albania,2021-03-01,306.77,0.0,60.19,104.87,2.89,38.0,13.19,11803.43,1
Albania,2021-03-08,243.61714285714285,0.0,60.19,104.87,2.89,38.0,13.19,11803.43,1
Albania,2021-03-15,196.9857142857143,0.0,60.19,104.87,2.89,38.0,13.19,11803.43,1
Albania,2021-03-22,161.36714285714285,0.0,60.19,104.87,2.89,38.0,13.19,11803.43,1
Albania,2021-03-29,132.67142857142858,0.0,60.19,104.87,2.89,38.0,13.19,11803.43,1
Albania,2021-04-05,98.67,0.0,60.19,104.87,2.89,38.0,13.19,11803.43,1
Albania,2021-04-12,76.39,0.0,54.63,104.87,2.89,38.0,13.19,11803.43,1
Albania,2021-04-19,48.652857142857144,0.0,54.63,104.87,2.89,38.0,13.19,11803.43,1
Albania,2021-04-26,41.175714285714285,0.0,54.63,104.87,2.89,38.0,13.19,11803.43,1
Albania,2021-05-03,24.857142857142858,0.0,61.24714285714286,104.87,2.89,38.0,13.19,11803.43,1
Albania,2021-05-10,18.28857142857143,8.944285714285714,60.19,104.87,2.89,38.0,13.19,11803.43,1
Albania,2021-05-17,10.811428571428573,14.017142857142858,54.23714285714285,104.87,2.89,38.0,13.19,11803.43,1
Albania,2021-05-24,6.668571428571428,9.66,46.3,104.87,2.89,38.0,13.19,11803.43,0
Albania,2021-05-31,4.395714285714286,9.83,46.3,104.87,2.89,38.0,13.19,11803.43,0
Albania,2021-06-07,3.2842857142857143,17.55142857142857,37.96,104.87,2.89,38.0,13.19,11803.43,0
Albania,2021-06-14,2.3742857142857146,12.825714285714286,37.96,104.87,2.89,38.0,13.19,11803.43,0
Albania,2021-06-21,1.1114285714285714,10.62857142857143,37.96,104.87,2.89,38.0,13.19,11803.43,0
Albania,2021-06-28,1.01,16.970000000000002,37.96,104.87,2.89,38.0,13.19,11803.43,0
Albania,2021-07-05,2.7285714285714286,20.47,37.96,104.87,2.89,38.0,13.19,11803.43,0
Albania,2021-07-12,3.3857142857142857,21.0,37.96,104.87,2.89,38.0,13.19,11803.43,0
Albania,2021-07-19,9.144285714285715,12.518571428571429,37.96,104.87,2.89,38.0,13.19,11803.43,0
Albania,2021-07-26,10.508571428571429,13.417142857142858,37.96,104.87,2.89,38.0,13.19,11803.43,0
Albania,2021-08-02,28.04,17.33142857142857,37.96,104.87,2.89,38.0,13.19,11803.43,0
Albania,2021-08-09,78.25857142857141,11.125714285714285,37.96,104.87,2.89,38.0,13.19,11803.43,0
Albania,2021-08-16,151.16285714285715,19.467142857142857,38.22571428571428,104.87,2.89,38.0,13.19,11803.43,0
Albania,2021-08-23,254.73285714285717,24.284285714285716,38.89,104.87,2.89,38.0,13.19,11803.43,0
Albania,2021-08-30,300.2528571428571,16.764285714285712,38.89,104.87,2.89,38.0,13.19,11803.43,0
Albania,2021-09-06,312.0242857142857,31.091428571428573,41.67,104.87,2.89,38.0,13.19,11803.43,0
Albania,2021-09-13,304.6985714285714,27.43,41.67,104.87,2.89,38.0,13.19,11803.43,0
Albania,2021-09-20,271.1014285714286,23.28857142857143,41.67,104.87,2.89,38.0,13.19,11803.43,0
Albania,2021-09-27,206.53428571428572,28.49857142857143,41.00571428571429,104.87,2.89,38.0,13.19,11803.43,0
Albania,2021-10-04,171.27,28.885714285714283,40.74,104.87,2.89,38.0,13.19,11803.43,0
Albania,2021-10-11,148.53571428571428,14.668571428571429,40.74,104.87,2.89,38.0,13.19,11803.43,0
Albania,2021-10-18,177.58571428571426,29.857142857142858,40.74,104.87,2.89,38.0,13.19,11803.43,0
Albania,2021-10-25,187.79142857142855,20.27285714285714,40.74,104.87,2.89,38.0,13.19,11803.43,0
Albania,2021-11-01,184.60857142857142,20.642857142857142,40.74,104.87,2.89,38.0,13.19,11803.43,0
Albania,2021-11-08,203.04857142857142,20.947142857142858,45.505714285714284,104.87,2.89,38.0,13.19,11803.43,0
Albania,2021-11-15,177.33285714285714,21.214285714285715,46.3,104.87,2.89,38.0,13.19,11803.43,0
Albania,2021-11-22,162.1257142857143,16.111428571428572,46.3,104.87,2.89,38.0,13.19,11803.43,0
Albania,2021-11-29,116.85714285714286,21.674285714285713,48.67857142857143,104.87,2.89,38.0,13.19,11803.43,0
Albania,2021-12-06,109.63285714285713,21.97714285714286,51.85,104.87,2.89,38.0,13.19,11803.43,1
Albania,2021-12-13,101.49857142857142,22.34,51.85,104.87,2.89,38.0,13.19,11803.43,1
Albania,2021-12-20,100.89285714285714,11.347142857142858,49.471428571428575,104.87,2.89,38.0,13.19,11803.43,0
Albania,2021-12-27,0.0,8.032,46.3,104.87,2.89,38.0,13.19,11803.43,0
Algeria,2021-01-04,5.51,0.0,72.22,17.35,1.9,29.1,6.21,13913.84,1
Algeria,2021-01-11,5.3342857142857145,0.0,72.22,17.35,1.9,29.1,6.21,13913.84,1
Algeria,2021-01-18,5.522857142857142,0.0,72.22,17.35,1.9,29.1,6.21,13913.84,1
Algeria,2021-01-25,5.507142857142857,0.0,72.22,17.35,1.9,29.1,6.21,13913.84,1
Algeria,2021-02-01,5.434285714285714,0.0,72.22,17.35,1.9,29.1,6.21,13913.84,1
Algeria,2021-02-08,5.217142857142858,0.0,72.22,17.35,1.9,29.1,6.21,13913.84,1
Algeria,2021-02-15,3.93,0.02428571428571429,77.78,17.35,1.9,29.1,6.21,13913.84,1
Algeria,2021-02-22,3.757142857142857,0.0,77.78,17.35,1.9,29.1,6.21,13913.84,1
Algeria,2021-03-01,3.5942857142857143,0.0,77.78,17.35,1.9,29.1,6.21,13913.84,1
Algeria,2021-03-08,3.2642857142857147,0.0,77.78,17.35,1.9,29.1,6.21,13913.84,1
